Path1_1(x)	Path1_1(y)	Path1_2(x)	Path1_2(y)	Path1_3(x)	Path1_3(y)	Path1_4(x)	Path1_4(y)	Path1_5(x)	Path1_5(y)	Path1_6(x)	Path1_6(y)	Path1_7(x)	Path1_7(y)	Path1_8(x)	Path1_8(y)	Path1_9(x)	Path1_9(y)
10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30
11	30	10	29	11	30	10	29	11	30	11	30	10	29	10	29	10	29
12	30	10	28	12	30	10	28	12	30	12	30	10	28	10	28	10	28
12	29	10	27	12	29	10	27	13	30	13	30	10	27	10	27	10	27
12	28	10	26	12	28	10	26	14	30	14	30	10	26	10	26	10	26
12	27	10	25	12	27	10	25	15	30	15	30	10	25	10	25	10	25
12	26	10	24	12	26	10	24	16	30	15	31	9	25	9	25	9	25
12	25	10	23	12	25	10	23	17	30	15	32	8	25	8	25	8	25
12	24	10	22	12	24	10	22	18	30	16	32	7	25	7	25	7	25
12	23	10	21	12	23	10	21	18	29	17	32	6	25	6	25	6	25
12	22	10	20	12	22	10	20	18	28	18	32	5	25	5	25	5	25
12	21	10	19	12	21	10	19	18	27	19	32	5	24	5	24	5	24
12	20	10	18	12	20	10	18	18	26	20	32	5	23	5	23	5	23
12	19	10	17	12	19	10	17	18	25	21	32	5	22	5	22	5	22
12	18	11	17	12	18	11	17	19	25	22	32	5	21	5	21	5	21
12	17	12	17	12	17	12	17	20	25	23	32	5	20	5	20	5	20
13	17	13	17	13	17	13	17	21	25	24	32	5	19	5	19	5	19
14	17	14	17	14	17	14	17	22	25	25	32	5	18	5	18	5	18
15	17	15	17	15	17	15	17	23	25	26	32	5	17	5	17	5	17
15	16	15	16	16	17	16	17	23	24	27	32	5	16	5	16	5	16
15	15	15	15	17	17	17	17	23	23	27	31	5	15	5	15	5	15
16	15	16	15	18	17	18	17	23	22	27	30	5	14	5	14	5	14
17	15	17	15	19	17	19	17	23	21	28	30	5	13	5	13	5	13
18	15	18	15	20	17	20	17	23	20	29	30	6	13	6	13	6	13
19	15	19	15	21	17	21	17	23	19	30	30	7	13	7	13	7	13
20	15	20	15	22	17	22	17	23	18	30	29	8	13	8	13	8	13
21	15	21	15	23	17	23	17	23	17	30	28	9	13	9	13	9	13
22	15	22	15	24	17	24	17	24	17	30	27	10	13	10	13	10	13
23	15	23	15	25	17	25	17	25	17	30	26	10	14	10	14	10	14
24	15	24	15	25	16	25	16	25	16	30	25	10	15	10	15	10	15
25	15	25	15	25	15	25	15	25	15	30	24	10	16	10	16	10	16
0	0	0	0	0	0	0	0	0	0	30	23	10	17	10	17	10	17
0	0	0	0	0	0	0	0	0	0	30	22	11	17	11	17	11	17
0	0	0	0	0	0	0	0	0	0	30	21	12	17	12	17	12	17
0	0	0	0	0	0	0	0	0	0	30	20	13	17	13	17	13	17
0	0	0	0	0	0	0	0	0	0	30	19	14	17	14	17	14	17
0	0	0	0	0	0	0	0	0	0	30	18	15	17	15	17	15	17
0	0	0	0	0	0	0	0	0	0	30	17	15	16	16	17	15	18
0	0	0	0	0	0	0	0	0	0	29	17	15	15	17	17	15	19
0	0	0	0	0	0	0	0	0	0	28	17	16	15	18	17	15	20
0	0	0	0	0	0	0	0	0	0	27	17	17	15	19	17	15	21
0	0	0	0	0	0	0	0	0	0	26	17	18	15	20	17	15	22
0	0	0	0	0	0	0	0	0	0	25	17	19	15	21	17	15	23
0	0	0	0	0	0	0	0	0	0	25	16	20	15	22	17	15	24
0	0	0	0	0	0	0	0	0	0	25	15	21	15	23	17	15	25
0	0	0	0	0	0	0	0	0	0	0	0	22	15	24	17	16	25
0	0	0	0	0	0	0	0	0	0	0	0	23	15	25	17	17	25
0	0	0	0	0	0	0	0	0	0	0	0	24	15	25	16	18	25
0	0	0	0	0	0	0	0	0	0	0	0	25	15	25	15	19	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	24
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	22
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	21
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	20
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	19
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	15
