Path3_1(x)	Path3_1(y)	Path3_2(x)	Path3_2(y)	Path3_3(x)	Path3_3(y)	Path3_4(x)	Path3_4(y)	Path3_5(x)	Path3_5(y)	Path3_6(x)	Path3_6(y)	Path3_7(x)	Path3_7(y)	Path3_8(x)	Path3_8(y)	Path3_9(x)	Path3_9(y)	Path3_10(x)	Path3_10(y)	Path3_11(x)	Path3_11(y)	Path3_12(x)	Path3_12(y)	Path3_13(x)	Path3_13(y)
10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40
10	39	10	39	10	39	11	40	10	39	11	40	10	39	11	40	10	39	10	39	10	39	10	39	10	39
10	38	10	38	10	38	12	40	10	38	12	40	10	38	12	40	10	38	10	38	10	38	10	38	10	38
10	37	10	37	10	37	13	40	10	37	13	40	10	37	13	40	10	37	10	37	10	37	10	37	10	37
10	36	10	36	11	37	14	40	11	37	14	40	11	37	14	40	10	36	9	37	9	37	9	37	9	37
10	35	10	35	12	37	15	40	12	37	15	40	12	37	15	40	10	35	8	37	8	37	8	37	8	37
10	34	10	34	13	37	16	40	13	37	16	40	13	37	16	40	10	34	7	37	7	37	7	37	7	37
10	33	10	33	14	37	17	40	14	37	17	40	14	37	17	40	10	33	6	37	6	37	6	37	6	37
10	32	10	32	15	37	18	40	15	37	18	40	15	37	18	40	10	32	5	37	5	37	5	37	5	37
10	31	10	31	16	37	19	40	16	37	19	40	16	37	19	40	10	31	5	36	5	36	5	36	5	36
10	30	10	30	17	37	20	40	17	37	20	40	17	37	20	40	10	30	5	35	5	35	5	35	5	35
10	29	10	29	18	37	21	40	18	37	21	40	18	37	21	40	10	29	5	34	5	34	5	34	5	34
10	28	10	28	19	37	22	40	19	37	22	40	19	37	22	40	10	28	5	33	5	33	5	33	5	33
10	27	10	27	20	37	22	39	20	37	22	39	20	37	22	39	10	27	5	32	5	32	5	32	5	32
10	26	10	26	21	37	22	38	21	37	22	38	21	37	22	38	10	26	5	31	5	31	5	31	5	31
10	25	10	25	22	37	22	37	22	37	22	37	22	37	22	37	10	25	5	30	5	30	5	30	5	30
10	24	10	24	22	36	22	36	23	37	23	37	23	37	23	37	10	24	5	29	5	29	5	29	5	29
10	23	10	23	22	35	22	35	24	37	24	37	24	37	24	37	10	23	5	28	5	28	5	28	5	28
10	22	10	22	23	35	23	35	25	37	25	37	25	37	25	37	10	22	5	27	5	27	5	27	5	27
10	21	10	21	24	35	24	35	26	37	26	37	26	37	26	37	10	21	5	26	5	26	5	26	5	26
10	20	10	20	25	35	25	35	27	37	27	37	27	37	27	37	10	20	5	25	5	25	5	25	5	25
10	19	10	19	26	35	26	35	27	36	27	36	28	37	28	37	10	19	5	24	5	24	5	24	5	24
10	18	10	18	27	35	27	35	27	35	27	35	29	37	29	37	10	18	5	23	5	23	5	23	5	23
10	17	10	17	28	35	28	35	28	35	28	35	30	37	30	37	10	17	5	22	5	22	5	22	5	22
11	17	11	17	29	35	29	35	29	35	29	35	31	37	31	37	11	17	5	21	5	21	5	21	5	21
12	17	12	17	30	35	30	35	30	35	30	35	32	37	32	37	12	17	5	20	5	20	5	20	5	20
13	17	13	17	31	35	31	35	31	35	31	35	32	36	32	36	13	17	5	19	5	19	5	19	5	19
14	17	14	17	32	35	32	35	32	35	32	35	32	35	32	35	14	17	5	18	5	18	5	18	5	18
15	17	15	17	33	35	33	35	33	35	33	35	33	35	33	35	15	17	5	17	5	17	5	17	5	17
16	17	16	17	34	35	34	35	34	35	34	35	34	35	34	35	15	16	6	17	6	17	5	16	5	16
17	17	17	17	35	35	35	35	35	35	35	35	35	35	35	35	15	15	7	17	7	17	5	15	5	15
18	17	18	17	35	34	35	34	35	34	35	34	35	34	35	34	16	15	8	17	8	17	5	14	5	14
19	17	19	17	35	33	35	33	35	33	35	33	35	33	35	33	17	15	9	17	9	17	5	13	5	13
20	17	20	17	35	32	35	32	35	32	35	32	35	32	35	32	18	15	10	17	10	17	5	12	5	12
21	17	21	17	35	31	35	31	35	31	35	31	35	31	35	31	19	15	11	17	11	17	5	11	5	11
22	17	22	17	35	30	35	30	35	30	35	30	35	30	35	30	20	15	12	17	12	17	5	10	5	10
23	17	23	17	35	29	35	29	35	29	35	29	35	29	35	29	21	15	13	17	13	17	5	9	5	9
24	17	24	17	35	28	35	28	35	28	35	28	35	28	35	28	22	15	14	17	14	17	5	8	5	8
25	17	25	17	35	27	35	27	35	27	35	27	35	27	35	27	23	15	15	17	15	17	5	7	5	7
26	17	26	17	35	26	35	26	35	26	35	26	35	26	35	26	24	15	16	17	16	17	5	6	5	6
27	17	27	17	35	25	35	25	35	25	35	25	35	25	35	25	25	15	17	17	17	17	5	5	5	5
27	16	28	17	35	24	35	24	35	24	35	24	35	24	35	24	26	15	18	17	18	17	6	5	6	5
27	15	29	17	35	23	35	23	35	23	35	23	35	23	35	23	27	15	19	17	19	17	7	5	7	5
28	15	30	17	35	22	35	22	35	22	35	22	35	22	35	22	28	15	20	17	20	17	8	5	8	5
29	15	31	17	35	21	35	21	35	21	35	21	35	21	35	21	29	15	21	17	21	17	9	5	9	5
30	15	32	17	35	20	35	20	35	20	35	20	35	20	35	20	30	15	22	17	22	17	10	5	10	5
31	15	32	16	35	19	35	19	35	19	35	19	35	19	35	19	31	15	23	17	23	17	11	5	11	5
32	15	32	15	35	18	35	18	35	18	35	18	35	18	35	18	32	15	24	17	24	17	12	5	12	5
33	15	33	15	35	17	35	17	35	17	35	17	35	17	35	17	33	15	25	17	25	17	13	5	13	5
34	15	34	15	35	16	35	16	35	16	35	16	35	16	35	16	34	15	26	17	26	17	14	5	14	5
35	15	35	15	35	15	35	15	35	15	35	15	35	15	35	15	35	15	27	17	27	17	15	5	15	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	16	28	17	16	5	16	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	15	29	17	17	5	17	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	15	30	17	17	6	18	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	15	31	17	17	7	19	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	15	32	17	17	8	20	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	15	32	16	17	9	21	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	15	32	15	17	10	22	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	15	33	15	18	10	23	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	15	34	15	19	10	24	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	15	35	15	20	10	25	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	10	26	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	10	27	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	10	27	6
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	10	27	7
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	10	27	8
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	10	27	9
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	10	27	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	11	27	11
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	12	27	12
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	13	27	13
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	14	27	14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	15	27	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	15	28	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	15	29	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	15	30	15
