Path8_1(x)	Path8_1(y)	Path8_2(x)	Path8_2(y)	Path8_3(x)	Path8_3(y)	Path8_4(x)	Path8_4(y)	Path8_5(x)	Path8_5(y)	Path8_6(x)	Path8_6(y)	Path8_7(x)	Path8_7(y)	Path8_8(x)	Path8_8(y)	Path8_9(x)	Path8_9(y)	Path8_10(x)	Path8_10(y)	Path8_11(x)	Path8_11(y)	Path8_12(x)	Path8_12(y)	Path8_13(x)	Path8_13(y)	Path8_14(x)	Path8_14(y)	Path8_15(x)	Path8_15(y)	Path8_16(x)	Path8_16(y)	Path8_17(x)	Path8_17(y)	Path8_18(x)	Path8_18(y)	Path8_19(x)	Path8_19(y)	Path8_20(x)	Path8_20(y)	Path8_21(x)	Path8_21(y)	Path8_22(x)	Path8_22(y)	Path8_23(x)	Path8_23(y)	Path8_24(x)	Path8_24(y)	Path8_25(x)	Path8_25(y)	Path8_26(x)	Path8_26(y)	Path8_27(x)	Path8_27(y)	Path8_28(x)	Path8_28(y)	Path8_29(x)	Path8_29(y)	Path8_30(x)	Path8_30(y)	Path8_31(x)	Path8_31(y)	Path8_32(x)	Path8_32(y)	Path8_33(x)	Path8_33(y)	Path8_34(x)	Path8_34(y)	Path8_35(x)	Path8_35(y)	Path8_36(x)	Path8_36(y)	Path8_37(x)	Path8_37(y)	Path8_38(x)	Path8_38(y)	Path8_39(x)	Path8_39(y)	Path8_40(x)	Path8_40(y)	Path8_41(x)	Path8_41(y)	Path8_42(x)	Path8_42(y)	Path8_43(x)	Path8_43(y)	Path8_44(x)	Path8_44(y)	Path8_45(x)	Path8_45(y)	Path8_46(x)	Path8_46(y)	Path8_47(x)	Path8_47(y)	Path8_48(x)	Path8_48(y)
10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40
10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	10	39	10	39	11	40	11	40	11	40	11	40	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39
10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	10	38	10	38	12	40	12	40	12	40	12	40	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38
10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	10	37	10	37	13	40	13	40	13	40	13	40	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37
10	36	10	36	10	36	10	36	10	36	10	36	10	36	9	37	9	37	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	10	36	10	36	14	40	14	40	14	40	14	40	10	36	10	36	10	36	10	36	10	36	10	36	10	36	10	36	9	37	10	36	9	37	9	37	10	36	10	36	9	37
10	35	10	35	10	35	10	35	10	35	10	35	10	35	8	37	8	37	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	10	35	10	35	15	40	15	40	15	40	15	40	10	35	10	35	10	35	10	35	10	35	10	35	10	35	10	35	8	37	10	35	8	37	8	37	10	35	10	35	8	37
10	34	10	34	10	34	10	34	10	34	10	34	10	34	7	37	7	37	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	10	34	10	34	16	40	16	40	16	40	16	40	10	34	10	34	10	34	10	34	10	34	10	34	10	34	10	34	7	37	10	34	7	37	7	37	10	34	10	34	7	37
10	33	10	33	10	33	10	33	10	33	10	33	10	33	6	37	6	37	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	10	33	10	33	17	40	17	40	17	40	17	40	10	33	10	33	10	33	10	33	10	33	10	33	10	33	10	33	6	37	10	33	6	37	6	37	10	33	10	33	6	37
10	32	10	32	10	32	10	32	10	32	10	32	10	32	5	37	5	37	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	10	32	10	32	18	40	18	40	18	40	18	40	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	5	37	10	32	5	37	5	37	10	32	10	32	5	37
10	31	10	31	10	31	10	31	10	31	10	31	10	31	5	36	5	36	19	40	19	40	19	40	19	40	19	40	19	40	19	40	19	40	19	40	19	40	19	40	19	40	19	40	19	40	19	40	19	40	19	40	19	40	10	31	10	31	19	40	19	40	19	40	19	40	10	31	10	31	10	31	10	31	10	31	10	31	10	31	10	31	5	36	10	31	5	36	5	36	10	31	10	31	5	38
