Path5_1(x)	Path5_1(y)	Path5_2(x)	Path5_2(y)	Path5_3(x)	Path5_3(y)	Path5_4(x)	Path5_4(y)	Path5_5(x)	Path5_5(y)	Path5_6(x)	Path5_6(y)	Path5_7(x)	Path5_7(y)	Path5_8(x)	Path5_8(y)	Path5_9(x)	Path5_9(y)	Path5_10(x)	Path5_10(y)	Path5_11(x)	Path5_11(y)	Path5_12(x)	Path5_12(y)	Path5_13(x)	Path5_13(y)	Path5_14(x)	Path5_14(y)	Path5_15(x)	Path5_15(y)	Path5_16(x)	Path5_16(y)	Path5_17(x)	Path5_17(y)	Path5_18(x)	Path5_18(y)	Path5_19(x)	Path5_19(y)	Path5_20(x)	Path5_20(y)	Path5_21(x)	Path5_21(y)	Path5_22(x)	Path5_22(y)	Path5_23(x)	Path5_23(y)	Path5_24(x)	Path5_24(y)
12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72
13	72	12	71	13	72	12	71	12	71	12	71	13	72	12	71	13	72	12	71	12	71	12	71	12	71	12	71	13	72	12	71	13	72	13	72	13	72	13	72	13	72	13	72	13	72	13	72
14	72	12	70	14	72	12	70	12	70	12	70	14	72	12	70	14	72	12	70	12	70	12	70	12	70	12	70	14	72	12	70	14	72	14	72	14	72	14	72	14	72	14	72	14	72	14	72
15	72	12	69	15	72	12	69	12	69	12	69	15	72	12	69	15	72	12	69	12	69	12	69	12	69	12	69	15	72	12	69	15	72	15	72	15	72	15	72	15	72	15	72	15	72	15	72
16	72	12	68	15	71	12	68	12	68	12	68	16	72	12	68	15	71	12	68	12	68	12	68	12	68	12	68	15	71	12	68	16	72	15	73	16	72	15	73	16	72	15	73	16	72	15	73
17	72	13	68	15	70	12	67	12	67	12	67	17	72	13	68	15	70	12	67	12	67	12	67	12	67	13	68	15	70	12	67	17	72	15	74	17	72	15	74	17	72	15	74	17	72	15	74
18	72	14	68	15	69	12	66	12	66	12	66	18	72	14	68	15	69	12	66	12	66	12	66	12	66	14	68	15	69	12	66	18	72	15	75	18	72	15	75	18	72	15	75	18	72	15	75
19	72	15	68	15	68	12	65	12	65	12	65	19	72	15	68	15	68	12	65	12	65	12	65	12	65	15	68	15	68	12	65	19	72	15	76	19	72	15	76	19	72	15	76	19	72	15	76
20	72	15	67	15	67	12	64	12	64	12	64	20	72	15	67	15	67	12	64	12	64	12	64	12	64	15	67	15	67	12	64	20	72	15	77	20	72	15	77	20	72	15	77	20	72	15	77
21	72	15	66	15	66	12	63	12	63	12	63	21	72	15	66	15	66	12	63	12	63	12	63	12	63	15	66	15	66	12	63	21	72	15	78	21	72	15	78	21	72	15	78	21	72	15	78
