Path9_1(x)	Path9_1(y)	Path9_2(x)	Path9_2(y)	Path9_3(x)	Path9_3(y)	Path9_4(x)	Path9_4(y)	Path9_5(x)	Path9_5(y)	Path9_6(x)	Path9_6(y)	Path9_7(x)	Path9_7(y)	Path9_8(x)	Path9_8(y)	Path9_9(x)	Path9_9(y)	Path9_10(x)	Path9_10(y)	Path9_11(x)	Path9_11(y)	Path9_12(x)	Path9_12(y)	Path9_13(x)	Path9_13(y)	Path9_14(x)	Path9_14(y)	Path9_15(x)	Path9_15(y)	Path9_16(x)	Path9_16(y)	Path9_17(x)	Path9_17(y)	Path9_18(x)	Path9_18(y)	Path9_19(x)	Path9_19(y)	Path9_20(x)	Path9_20(y)	Path9_21(x)	Path9_21(y)	Path9_22(x)	Path9_22(y)	Path9_23(x)	Path9_23(y)	Path9_24(x)	Path9_24(y)	Path9_25(x)	Path9_25(y)	Path9_26(x)	Path9_26(y)	Path9_27(x)	Path9_27(y)	Path9_28(x)	Path9_28(y)	Path9_29(x)	Path9_29(y)	Path9_30(x)	Path9_30(y)	Path9_31(x)	Path9_31(y)	Path9_32(x)	Path9_32(y)	Path9_33(x)	Path9_33(y)	Path9_34(x)	Path9_34(y)	Path9_35(x)	Path9_35(y)	Path9_36(x)	Path9_36(y)	Path9_37(x)	Path9_37(y)	Path9_38(x)	Path9_38(y)	Path9_39(x)	Path9_39(y)	Path9_40(x)	Path9_40(y)	Path9_41(x)	Path9_41(y)	Path9_42(x)	Path9_42(y)	Path9_43(x)	Path9_43(y)	Path9_44(x)	Path9_44(y)	Path9_45(x)	Path9_45(y)	Path9_46(x)	Path9_46(y)	Path9_47(x)	Path9_47(y)	Path9_48(x)	Path9_48(y)	Path9_49(x)	Path9_49(y)	Path9_50(x)	Path9_50(y)	Path9_51(x)	Path9_51(y)	Path9_52(x)	Path9_52(y)	Path9_53(x)	Path9_53(y)	Path9_54(x)	Path9_54(y)	Path9_55(x)	Path9_55(y)	Path9_56(x)	Path9_56(y)	Path9_57(x)	Path9_57(y)	Path9_58(x)	Path9_58(y)	Path9_59(x)	Path9_59(y)	Path9_60(x)	Path9_60(y)	Path9_61(x)	Path9_61(y)	Path9_62(x)	Path9_62(y)	Path9_63(x)	Path9_63(y)	Path9_64(x)	Path9_64(y)	Path9_65(x)	Path9_65(y)	Path9_66(x)	Path9_66(y)	Path9_67(x)	Path9_67(y)	Path9_68(x)	Path9_68(y)	Path9_69(x)	Path9_69(y)	Path9_70(x)	Path9_70(y)	Path9_71(x)	Path9_71(y)	Path9_72(x)	Path9_72(y)	Path9_73(x)	Path9_73(y)	Path9_74(x)	Path9_74(y)	Path9_75(x)	Path9_75(y)	Path9_76(x)	Path9_76(y)	Path9_77(x)	Path9_77(y)	Path9_78(x)	Path9_78(y)	Path9_79(x)	Path9_79(y)	Path9_80(x)	Path9_80(y)	Path9_81(x)	Path9_81(y)	Path9_82(x)	Path9_82(y)	Path9_83(x)	Path9_83(y)	Path9_84(x)	Path9_84(y)	Path9_85(x)	Path9_85(y)	Path9_86(x)	Path9_86(y)	Path9_87(x)	Path9_87(y)	Path9_88(x)	Path9_88(y)	Path9_89(x)	Path9_89(y)	Path9_90(x)	Path9_90(y)	Path9_91(x)	Path9_91(y)	Path9_92(x)	Path9_92(y)	Path9_93(x)	Path9_93(y)	Path9_94(x)	Path9_94(y)	Path9_95(x)	Path9_95(y)	Path9_96(x)	Path9_96(y)	Path9_97(x)	Path9_97(y)	Path9_98(x)	Path9_98(y)	Path9_99(x)	Path9_99(y)	Path9_100(x)	Path9_100(y)	Path9_101(x)	Path9_101(y)	Path9_102(x)	Path9_102(y)	Path9_103(x)	Path9_103(y)	Path9_104(x)	Path9_104(y)	Path9_105(x)	Path9_105(y)
10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40
10	39	10	39	10	39	11	40	11	40	10	39	10	39	10	39	11	40	10	39	10	39	10	39	11	40	11	40	11	40	10	39	10	39	10	39	11	40	11	40	10	39	10	39	11	40	10	39	11	40	10	39	10	39	10	39	10	39	10	39	10	39	11	40	10	39	10	39	10	39	11	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	9	40	10	39	10	39	9	40	9	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	10	39	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	9	40	11	40	11	40	9	40
10	38	10	38	10	38	12	40	12	40	10	38	10	38	10	38	12	40	10	38	10	38	10	38	12	40	12	40	12	40	10	38	10	38	10	38	12	40	12	40	10	38	10	38	12	40	10	38	12	40	10	38	10	38	10	38	10	38	10	38	10	38	12	40	10	38	10	38	10	38	12	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	8	40	10	38	10	38	8	40	8	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	10	38	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	8	40	12	40	12	40	8	40
10	37	10	37	10	37	13	40	13	40	10	37	10	37	10	37	13	40	10	37	10	37	10	37	13	40	13	40	13	40	10	37	10	37	10	37	13	40	13	40	10	37	10	37	13	40	10	37	13	40	10	37	10	37	10	37	10	37	10	37	10	37	13	40	10	37	10	37	10	37	13	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	7	40	10	37	10	37	7	40	7	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	10	37	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	7	40	13	40	13	40	7	40
10	36	10	36	10	36	14	40	14	40	10	36	10	36	10	36	14	40	10	36	10	36	10	36	14	40	14	40	14	40	10	36	10	36	10	36	14	40	14	40	10	36	10	36	14	40	10	36	14	40	10	36	10	36	10	36	10	36	10	36	10	36	14	40	10	36	10	36	10	36	14	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	6	40	10	36	10	36	6	40	6	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	10	36	10	36	10	36	10	36	10	36	10	36	10	36	10	36	10	36	10	36	10	36	10	36	10	36	10	36	10	36	10	36	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	6	40	14	40	14	40	6	40
10	35	10	35	10	35	15	40	15	40	10	35	10	35	10	35	15	40	10	35	10	35	10	35	15	40	15	40	15	40	10	35	10	35	10	35	15	40	15	40	10	35	10	35	15	40	10	35	15	40	10	35	10	35	10	35	10	35	10	35	10	35	15	40	10	35	10	35	10	35	15	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	5	40	10	35	10	35	5	40	5	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	10	35	10	35	10	35	10	35	10	35	10	35	10	35	10	35	10	35	10	35	10	35	10	35	10	35	10	35	10	35	10	35	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	5	40	15	40	15	40	5	40
10	34	10	34	10	34	16	40	16	40	10	34	10	34	10	34	16	40	10	34	10	34	10	34	16	40	16	40	16	40	10	34	10	34	10	34	16	40	16	40	10	34	10	34	16	40	10	34	16	40	10	34	10	34	10	34	10	34	10	34	10	34	16	40	10	34	10	34	10	34	16	40	5	39	5	39	5	39	5	39	5	39	5	39	5	39	5	39	5	39	5	39	5	39	5	39	5	39	10	34	10	34	5	39	5	39	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	10	34	10	34	10	34	10	34	10	34	10	34	10	34	10	34	10	34	10	34	10	34	10	34	10	34	10	34	10	34	10	34	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	5	41	16	40	16	40	5	41
10	33	10	33	10	33	17	40	17	40	10	33	10	33	10	33	17	40	10	33	10	33	10	33	17	40	17	40	17	40	10	33	10	33	10	33	17	40	17	40	10	33	10	33	17	40	10	33	17	40	10	33	10	33	10	33	10	33	10	33	10	33	17	40	10	33	10	33	10	33	17	40	5	38	5	38	5	38	5	38	5	38	5	38	5	38	5	38	5	38	5	38	5	38	5	38	5	38	10	33	10	33	5	38	5	38	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	10	33	10	33	10	33	10	33	10	33	10	33	10	33	10	33	10	33	10	33	10	33	10	33	10	33	10	33	10	33	10	33	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	5	42	17	40	17	40	5	42
10	32	10	32	10	32	17	39	17	39	10	32	10	32	10	32	17	39	10	32	10	32	10	32	17	39	17	39	17	39	10	32	10	32	10	32	17	39	17	39	10	32	10	32	17	39	10	32	17	39	10	32	10	32	10	32	10	32	10	32	10	32	17	39	10	32	10	32	10	32	17	39	5	37	5	37	5	37	5	37	5	37	5	37	5	37	5	37	5	37	5	37	5	37	5	37	5	37	10	32	10	32	5	37	5	37	18	40	18	40	18	40	18	40	17	39	18	40	17	39	17	39	17	39	17	39	17	39	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	17	39	17	39	17	39	17	39	17	39	17	39	17	39	17	39	17	39	17	39	17	39	17	39	17	39	17	39	17	39	17	39	17	39	17	39	17	39	17	39	17	41	5	43	17	41	17	41	5	43
10	31	10	31	11	32	17	38	17	38	11	32	10	31	10	31	17	38	11	32	11	32	11	32	17	38	17	38	17	38	10	31	10	31	10	31	17	38	17	38	11	32	11	32	17	38	11	32	17	38	10	31	10	31	11	32	11	32	10	31	10	31	17	38	10	31	10	31	11	32	17	38	5	36	5	36	5	36	5	36	5	36	5	36	5	36	5	36	5	36	5	36	5	36	5	36	5	36	10	31	10	31	5	36	5	36	19	40	19	40	19	40	19	40	17	38	19	40	17	38	17	38	17	38	17	38	17	38	10	31	10	31	11	32	11	32	10	31	11	32	11	32	10	31	11	32	11	32	11	32	11	32	11	32	11	32	11	32	11	32	17	38	17	38	17	38	17	38	17	38	17	38	17	38	17	38	17	38	17	38	17	38	17	38	17	38	17	38	17	38	17	38	17	38	17	38	17	38	17	38	17	42	5	44	17	42	17	42	5	44
