The test problem	The pareto optimal paths	The objective values	Number of paths
Test problem 1	Path1_1_5	31,3	5
Test problem 1	Path1_6_6	45,2	1
Test problem 1	Path1_7_8	49,1	2
Test problem 1	Path1_9_9	65,0	1
Test problem 2	Path2_1_8	41,4,8	8
Test problem 2	Path2_9_15	41,7,7	7
Test problem 2	Path2_16_16	47,3,9	1
Test problem 2	Path2_17_21	51,5,7	5
Test problem 2	Path2_22_22	61,1,10	1
Test problem 2	Path2_23_23	61,4,7	1
Test problem 2	Path2_24_24	67,2,8	1
Test problem 3	Path3_1_8	51,3,8	8
Test problem 3	Path3_9_9	51,4,7	1
Test problem 3	Path3_10_11	61,2,10	2
Test problem 3	Path3_12_13	81,2,9	2
Test problem 4	Path4_1_2	51,4,7	2
Test problem 4	Path4_3_3	51,5,6	1
Test problem 4	Path4_4_5	55,3,9	2
Test problem 4	Path4_6_6	61,3,7	1
Test problem 4	Path4_7_7	65,2,9	1
Test problem 4	Path4_8_8	77,2,7	1
Test problem 4	Path4_9_9	81,1,9	1
Test problem 5	Path5_1_6	97,4,10	6
Test problem 5	Path5_7_7	101,3,12	1
Test problem 5	Path5_8_13	105,3,10	6
Test problem 5	Path5_14_16	111,2,12	3
Test problem 5	Path5_17_24	161,1,21	8
Test problem 6	Path6_1_2	31,16.1	2
Test problem 6	Path6_3_4	41,15.6	2
Test problem 6	Path6_5_5	51,14.8	1
Test problem 7	Path7_1_2	41,16.1,8.1	2
Test problem 7	Path7_3_4	41,17.1,7.2	2
Test problem 7	Path7_5_6	41,18.3,6.6	2
Test problem 7	Path7_7_8	41,18.6,5.5	2
Test problem 7	Path7_9_9	47,12.9,21.2	1
Test problem 7	Path7_10_10	47,14.4,19.1	1
Test problem 7	Path7_11_11	47,16,14.8	1
Test problem 7	Path7_12_12	51,13.7,12.4	1
Test problem 7	Path7_13_13	51,14.7,11.5	1
Test problem 7	Path7_14_14	51,15.9,10.9	1
Test problem 7	Path7_15_15	61,11.6,21.2	1
Test problem 7	Path7_16_16	67,10.9,26.9	1
Test problem 8	Path8_1_2	51,15.2,14.1,13.4	2
Test problem 8	Path8_3_3	51,15.8,12.8,27.5	1
Test problem 8	Path8_4_4	51,15.9,10.9,27.4	1
Test problem 8	Path8_5_5	51,17.8,9.8,27.3	1
Test problem 8	Path8_6_7	51,19.8,12,15.8	2
Test problem 8	Path8_8_8	51,19.9,12.4,14.4	1
Test problem 8	Path8_9_9	51,20.2,10.9,25.2	1
Test problem 8	Path8_10_10	51,20.3,9.6,25.7	1
Test problem 8	Path8_11_12	51,21.4,11.5,17.1	2
Test problem 8	Path8_13_14	51,22,10.9,17.6	2
Test problem 8	Path8_15_15	51,22.9,9.5,27.5	1
Test problem 8	Path8_16_16	51,23,7.6,27.4	1
Test problem 8	Path8_17_17	51,23.3,10.2,15.7	1
Test problem 8	Path8_18_18	51,23.5,8.8,22.8	1
Test problem 8	Path8_19_19	51,23.6,7.5,23.3	1
Test problem 8	Path8_20_20	51,23.8,10.1,18	1
Test problem 8	Path8_21_21	51,24.1,7.2,26.4	1
Test problem 8	Path8_22_22	51,24.1,7.4,25.6	1
Test problem 8	Path8_23_23	51,24.7,6.6,26.9	1
Test problem 8	Path8_24_25	51,24.9,9.7,17	2
Test problem 8	Path8_26_26	51,25,7.6,20.7	1
Test problem 8	Path8_27_28	51,25.2,7,24.6	2
Test problem 8	Path8_29_29	51,25.5,7.5,23	1
Test problem 8	Path8_30_31	51,25.5,9.1,17.5	2
Test problem 8	Path8_32_33	51,25.8,6.4,25.1	2
Test problem 8	Path8_34_35	51,26.6,7.1,22	2
Test problem 8	Path8_36_37	51,27.2,6.5,22.5	2
Test problem 8	Path8_38_39	55,19.3,13.7,15.7	2
Test problem 8	Path8_40_40	61,12.8,29.7,19.4	1
Test problem 8	Path8_41_41	61,14.3,24.8,17.2	1
Test problem 8	Path8_42_43	61,15,24.5,18.6	2
Test problem 8	Path8_44_44	81,11.4,53.4,19.6	1
Test problem 8	Path8_45_45	81,11.7,51,19.6	1
Test problem 8	Path8_46_46	81,12.9,48.5,17.4	1
Test problem 8	Path8_47_47	81,13.2,46.1,17.4	1
Test problem 8	Path8_48_48	97,12.6,44,55.8	1
Test problem 9	Path9_1_2	51,15,14.3,14.6,24.9	2
Test problem 9	Path9_3_3	51,15.4,14.2,14.7,24.9	1
Test problem 9	Path9_4_4	51,16.3,9.3,29,12.4	1
Test problem 9	Path9_5_5	51,17.4,11.7,28.8,16.1	1
Test problem 9	Path9_6_7	51,21,11.9,15.7,20.9	2
Test problem 9	Path9_8_8	51,21.4,11.8,15.8,20.9	1
Test problem 9	Path9_9_10	51,21.8,7.6,28,12.3	2
Test problem 9	Path9_11_11	51,22.2,6.9,27.4,13.8	1
Test problem 9	Path9_12_12	51,23.3,9.3,27.2,17.5	1
Test problem 9	Path9_13_14	51,23.5,11.3,15.9,21.1	2
Test problem 9	Path9_15_15	51,23.6,9.3,21.1,20.9	1
Test problem 9	Path9_16_17	51,23.9,11.2,16,21.1	2
Test problem 9	Path9_18_18	51,23.9,11.3,16.2,20.8	1
Test problem 9	Path9_19_20	51,24,10.7,17.8,16.3	2
Test problem 9	Path9_21_21	51,24.3,11.2,16.3,20.8	1
Test problem 9	Path9_22_23	51,24.4,10,17.2,17.8	2
Test problem 9	Path9_24_24	51,24.4,10.6,17.9,16.3	1
Test problem 9	Path9_25_25	51,24.8,9.9,17.3,17.8	1
Test problem 9	Path9_26_27	51,24.9,8.4,23.2,15.9	2
Test problem 9	Path9_28_28	51,25.3,7.7,22.6,17.4	1
Test problem 9	Path9_29_29	51,26.1,8.1,23.4,16.2	1
Test problem 9	Path9_30_30	51,26.5,7.4,22.8,17.7	1
Test problem 9	Path9_31_32	51,26.5,10.1,18,16.5	2
Test problem 9	Path9_33_33	51,26.6,8.1,23.2,16.3	1
Test problem 9	Path9_34_35	51,26.7,8.4,18.2,19.8	2
Test problem 9	Path9_36_37	51,26.7,10.2,16,20.5	2
Test problem 9	Path9_38_39	51,26.9,9.4,17.4,18	2
Test problem 9	Path9_40_41	51,26.9,10,18.1,16.5	2
Test problem 9	Path9_42_42	51,26.9,10.1,18.3,16.2	1
Test problem 9	Path9_43_43	51,27,7.4,22.6,17.8	1
Test problem 9	Path9_44_44	51,27.1,8.4,18.5,19.5	1
Test problem 9	Path9_45_45	51,27.1,10.2,16.3,20.2	1
Test problem 9	Path9_46_47	51,27.3,9.3,17.5,18	2
Test problem 9	Path9_48_48	51,27.3,9.4,17.7,17.7	1
Test problem 9	Path9_49_49	51,27.3,10,18.4,16.2	1
Test problem 9	Path9_50_50	51,27.7,9.3,17.8,17.7	1
Test problem 9	Path9_51_52	51,29.7,7.2,20.3,15.2	2
Test problem 9	Path9_53_54	51,29.7,9,18.1,15.9	2
Test problem 9	Path9_55_56	51,30.1,6.5,19.7,16.7	2
Test problem 9	Path9_57_57	51,30.1,7.2,20.6,14.9	1
Test problem 9	Path9_58_59	51,30.1,8.3,17.5,17.4	2
Test problem 9	Path9_60_60	51,30.1,9,18.4,15.6	1
Test problem 9	Path9_61_61	51,30.5,6.5,20,16.4	1
Test problem 9	Path9_62_62	51,30.5,8.3,17.8,17.1	1
Test problem 9	Path9_63_63	55,15.9,14,19.4,25.2	1
Test problem 9	Path9_64_64	55,17.3,13.4,18.3,25	1
Test problem 9	Path9_65_65	55,20,12.2,18.1,25	1
Test problem 9	Path9_66_66	55,20,14,15.9,25.7	1
Test problem 9	Path9_67_67	55,21.9,11.6,20.5,21.2	1
Test problem 9	Path9_68_68	55,22.4,11.7,17.9,24.9	1
Test problem 9	Path9_69_69	55,23.3,11,19.4,21	1
Test problem 9	Path9_70_70	55,24.9,10.4,22.6,16.6	1
Test problem 9	Path9_71_71	55,25.3,9.7,22,18.1	1
Test problem 9	Path9_72_72	55,26,9.8,19.2,21	1
Test problem 9	Path9_73_73	55,26.3,9.8,21.5,16.4	1
Test problem 9	Path9_74_74	55,26.7,9.1,20.9,17.9	1
Test problem 9	Path9_75_76	55,28.8,9.2,21.7,16.6	2
Test problem 9	Path9_77_77	55,29,8.6,21.3,16.4	1
Test problem 9	Path9_78_79	55,29.2,8.5,21.1,18.1	2
Test problem 9	Path9_80_80	55,29.2,9.2,22,16.3	1
Test problem 9	Path9_81_81	55,29.4,7.9,20.7,17.9	1
Test problem 9	Path9_82_82	55,29.6,8.5,21.4,17.8	1
Test problem 9	Path9_83_83	57,21.1,9.2,30.5,15.6	1
Test problem 9	Path9_84_84	61,13.3,25,18.4,27.3	1
Test problem 9	Path9_85_86	61,14.3,22.7,18.8,27.1	2
Test problem 9	Path9_87_87	61,15.8,14.6,34.8,13.4	1
Test problem 9	Path9_88_88	61,19.3,22.6,19.5,23.3	1
Test problem 9	Path9_89_90	61,20.3,20.3,19.9,23.1	2
Test problem 9	Path9_91_91	61,22.3,21.4,21.6,18.7	1
Test problem 9	Path9_92_92	61,22.7,20.7,21,20.2	1
Test problem 9	Path9_93_94	61,23.3,19.1,22,18.5	2
Test problem 9	Path9_95_96	61,23.7,18.4,21.4,20	2
Test problem 9	Path9_97_97	71,15.5,19.3,41.1,14.4	1
Test problem 9	Path9_98_98	81,10.7,50.2,18.3,44.6	1
Test problem 9	Path9_99_99	81,13.1,48.3,17.9,45.2	1
Test problem 9	Path9_100_100	81,13.7,45.2,17.6,45.4	1
Test problem 9	Path9_101_101	81,14,29.6,44.7,16.6	1
Test problem 9	Path9_102_102	81,14,43.3,18.3,45.4	1
Test problem 9	Path9_103_103	81,14.2,43.5,18.3,44.5	1
Test problem 9	Path9_104_104	81,15.1,27,44.1,17.2	1
Test problem 9	Path9_105_105	91,13.7,34.3,51,17.6	1
Test problem 10	Path10_1_2	97,19.3,21.8,51.9,16.3,45.6,27	2
Test problem 10	Path10_3_3	97,19.6,21.8,52,16.3,45.3,27	1
Test problem 10	Path10_4_4	97,19.8,22.3,52.2,15.7,44.9,27	1
Test problem 10	Path10_5_5	97,19.9,22.4,52.5,16.5,44.1,27	1
Test problem 10	Path10_6_6	97,21.4,26.5,27.8,37.6,17.2,53.5	1
Test problem 10	Path10_7_8	97,22.9,18.4,52.3,16.3,40.6,29.2	2
Test problem 10	Path10_9_9	97,23.2,18.4,52.4,16.3,40.3,29.2	1
Test problem 10	Path10_10_11	97,23.4,18.4,51.3,16.3,42.9,28.9	2
Test problem 10	Path10_12_12	97,23.4,18.9,52.6,15.7,39.9,29.2	1
Test problem 10	Path10_13_13	97,23.4,25.4,28,37.5,17.2,54.3	1
Test problem 10	Path10_14_14	97,23.5,19,52.9,16.5,39.1,29.2	1
Test problem 10	Path10_15_15	97,23.5,25,26.9,37.5,17.2,52.5	1
Test problem 10	Path10_16_16	97,23.7,18.4,51.4,16.3,42.6,28.9	1
Test problem 10	Path10_17_17	97,23.9,18.9,51.6,15.7,42.2,28.9	1
Test problem 10	Path10_18_18	97,24,19,51.9,16.5,41.4,28.9	1
Test problem 10	Path10_19_19	97,25.2,23.9,28.2,37.1,17.2,55	1
Test problem 10	Path10_20_20	97,25.2,23.9,28.6,36.8,17.2,55.2	1
Test problem 10	Path10_21_21	97,25.3,23.5,27.1,37.1,17.2,53.2	1
Test problem 10	Path10_22_22	97,25.3,23.5,27.5,36.8,17.2,54.4	1
Test problem 10	Path10_23_24	97,25.6,15.5,52.5,16.3,40.4,31.3	2
Test problem 10	Path10_25_26	97,25.7,15.5,52.7,16.3,40.1,31.6	2
Test problem 10	Path10_27_27	97,25.9,15.5,52.6,16.3,40.1,31.3	1
Test problem 10	Path10_28_28	97,26,15.5,52.8,16.3,39.8,31.6	1
Test problem 10	Path10_29_30	97,26.1,15.5,51.5,16.3,42.7,31	2
Test problem 10	Path10_31_31	97,26.1,16,52.8,15.7,39.7,31.3	1
Test problem 10	Path10_32_33	97,26.2,15.5,51.7,16.3,42.4,31.4	2
Test problem 10	Path10_34_34	97,26.2,16,53,15.7,39.4,31.6	1
Test problem 10	Path10_35_35	97,26.2,16.1,53.1,16.5,38.9,31.3	1
Test problem 10	Path10_36_36	97,26.3,16.1,53.3,16.5,38.6,31.6	1
Test problem 10	Path10_37_37	97,26.4,15.5,51.6,16.3,42.4,31	1
Test problem 10	Path10_38_38	97,26.5,15.5,51.8,16.3,42.1,31.4	1
Test problem 10	Path10_39_39	97,26.6,16,51.8,15.7,42,31	1
Test problem 10	Path10_40_40	97,26.7,16,52,15.7,41.7,31.4	1
Test problem 10	Path10_41_41	97,26.7,16.1,52.1,16.5,41.2,31	1
Test problem 10	Path10_42_42	97,26.8,16.1,52.3,16.5,40.9,31.4	1
Test problem 10	Path10_43_44	97,27.7,13.7,53.3,16.3,40.4,30.8	2
Test problem 10	Path10_45_46	97,27.8,13.7,53.5,16.3,40.1,31.1	2
Test problem 10	Path10_47_47	97,27.9,21.9,29.6,37.1,17.2,54.6	1
Test problem 10	Path10_48_48	97,27.9,21.9,30,36.8,17.2,54.8	1
Test problem 10	Path10_49_49	97,27.9,22.7,30.7,31.7,19.3,50.6	1
Test problem 10	Path10_50_50	97,28,13.7,53.4,16.3,40.1,30.8	1
Test problem 10	Path10_51_51	97,28,21.5,28.5,37.1,17.2,52.8	1
Test problem 10	Path10_52_52	97,28,21.5,28.9,36.8,17.2,54	1
Test problem 10	Path10_53_53	97,28.1,13.7,53.6,16.3,39.8,31.1	1
Test problem 10	Path10_54_55	97,28.2,13.7,52.3,16.3,42.7,30.5	2
Test problem 10	Path10_56_56	97,28.2,14.2,53.6,15.7,39.7,30.8	1
Test problem 10	Path10_57_58	97,28.2,18.4,46,16.3,39.3,29.5	2
Test problem 10	Path10_59_60	97,28.3,13.3,53,16.3,40.4,31.8	2
Test problem 10	Path10_61_62	97,28.3,13.7,52.5,16.3,42.4,30.9	2
Test problem 10	Path10_63_63	97,28.3,14.2,53.8,15.7,39.4,31.1	1
Test problem 10	Path10_64_64	97,28.3,14.3,53.9,16.5,38.9,30.8	1
Test problem 10	Path10_65_66	97,28.4,13.3,53.2,16.3,40.1,32.1	2
Test problem 10	Path10_67_67	97,28.4,14.3,54.1,16.5,38.6,31.1	1
Test problem 10	Path10_68_68	97,28.5,13.7,52.4,16.3,42.4,30.5	1
Test problem 10	Path10_69_69	97,28.5,22.7,31.1,32.2,19,50.2	1
Test problem 10	Path10_70_70	97,28.6,13.3,53.1,16.3,40.1,31.8	1
Test problem 10	Path10_71_71	97,28.6,13.7,52.6,16.3,42.1,30.9	1
Test problem 10	Path10_72_72	97,28.6,21.1,28.2,37.1,17.2,53.8	1
Test problem 10	Path10_73_73	97,28.6,21.1,28.6,36.8,17.2,55	1
Test problem 10	Path10_74_74	97,28.7,13.3,53.3,16.3,39.8,32.1	1
Test problem 10	Path10_75_75	97,28.7,14.2,52.6,15.7,42,30.5	1
Test problem 10	Path10_76_76	97,28.7,18.9,46.3,15.7,38.6,29.5	1
Test problem 10	Path10_77_78	97,28.8,13.3,52,16.3,42.7,31.5	2
Test problem 10	Path10_79_79	97,28.8,13.8,53.3,15.7,39.7,31.8	1
Test problem 10	Path10_80_80	97,28.8,14.2,52.8,15.7,41.7,30.9	1
Test problem 10	Path10_81_81	97,28.8,14.3,52.9,16.5,41.2,30.5	1
Test problem 10	Path10_82_82	97,28.8,19,46.6,16.5,37.8,29.5	1
Test problem 10	Path10_83_84	97,28.9,13.3,52.2,16.3,42.4,31.9	2
Test problem 10	Path10_85_85	97,28.9,13.8,53.5,15.7,39.4,32.1	1
Test problem 10	Path10_86_86	97,28.9,13.9,53.6,16.5,38.9,31.8	1
Test problem 10	Path10_87_87	97,28.9,14.3,53.1,16.5,40.9,30.9	1
Test problem 10	Path10_88_88	97,29,13.9,53.8,16.5,38.6,32.1	1
Test problem 10	Path10_89_89	97,29.1,13.3,52.1,16.3,42.4,31.5	1
Test problem 10	Path10_90_90	97,29.2,13.3,52.3,16.3,42.1,31.9	1
Test problem 10	Path10_91_91	97,29.3,13.8,52.3,15.7,42,31.5	1
Test problem 10	Path10_92_92	97,29.4,13.8,52.5,15.7,41.7,31.9	1
Test problem 10	Path10_93_93	97,29.4,13.9,52.6,16.5,41.2,31.5	1
Test problem 10	Path10_94_94	97,29.5,13.9,52.8,16.5,40.9,31.9	1
Test problem 10	Path10_95_95	97,29.9,21.6,30.9,31.6,19.3,51.4	1
Test problem 10	Path10_96_96	97,30,21.2,29.8,31.6,19.3,49.6	1
Test problem 10	Path10_97_97	97,30.5,21.6,31.3,32.1,19,51	1
Test problem 10	Path10_98_98	97,30.6,21.2,30.2,32.1,19,49.2	1
Test problem 10	Path10_99_100	97,30.9,15.5,46.2,16.3,39.1,31.6	2
Test problem 10	Path10_101_102	97,31,15.5,46.4,16.3,38.8,31.9	2
Test problem 10	Path10_103_103	97,31.4,16,46.5,15.7,38.4,31.6	1
Test problem 10	Path10_104_104	97,31.5,16,46.7,15.7,38.1,31.9	1
Test problem 10	Path10_105_105	97,31.5,16.1,46.8,16.5,37.6,31.6	1
Test problem 10	Path10_106_106	97,31.6,16.1,47,16.5,37.3,31.9	1
Test problem 10	Path10_107_107	97,31.7,20.1,31.1,31.2,19.3,52.1	1
Test problem 10	Path10_108_108	97,31.7,20.1,31.5,30.9,19.3,52.3	1
