Path2_1(x)	Path2_1(y)	Path2_2(x)	Path2_2(y)	Path2_3(x)	Path2_3(y)	Path2_4(x)	Path2_4(y)	Path2_5(x)	Path2_5(y)	Path2_6(x)	Path2_6(y)	Path2_7(x)	Path2_7(y)	Path2_8(x)	Path2_8(y)	Path2_9(x)	Path2_9(y)	Path2_10(x)	Path2_10(y)	Path2_11(x)	Path2_11(y)	Path2_12(x)	Path2_12(y)	Path2_13(x)	Path2_13(y)	Path2_14(x)	Path2_14(y)	Path2_15(x)	Path2_15(y)	Path2_16(x)	Path2_16(y)	Path2_17(x)	Path2_17(y)	Path2_18(x)	Path2_18(y)	Path2_19(x)	Path2_19(y)	Path2_20(x)	Path2_20(y)	Path2_21(x)	Path2_21(y)	Path2_22(x)	Path2_22(y)	Path2_23(x)	Path2_23(y)	Path2_24(x)	Path2_24(y)
5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35
5	34	5	34	5	34	5	34	6	35	6	35	6	35	6	35	5	34	5	34	5	34	6	35	6	35	6	35	6	35	5	34	5	34	5	34	6	35	6	35	6	35	5	34	6	35	6	35
5	33	5	33	5	33	5	33	7	35	7	35	7	35	7	35	5	33	5	33	5	33	7	35	7	35	7	35	7	35	5	33	5	33	5	33	7	35	7	35	7	35	5	33	7	35	7	35
5	32	5	32	5	32	5	32	8	35	8	35	8	35	8	35	5	32	5	32	5	32	8	35	8	35	8	35	8	35	5	32	5	32	5	32	8	35	8	35	8	35	5	32	8	35	8	35
5	31	6	32	6	32	6	32	9	35	9	35	9	35	9	35	6	32	6	32	6	32	9	35	9	35	9	35	9	35	5	31	6	32	6	32	9	35	9	35	9	35	5	31	9	35	9	35
5	30	7	32	7	32	7	32	10	35	10	35	10	35	10	35	7	32	7	32	7	32	10	35	10	35	10	35	10	35	5	30	7	32	7	32	10	35	10	35	10	35	5	30	10	35	10	35
5	29	8	32	8	32	8	32	11	35	11	35	11	35	11	35	8	32	8	32	8	32	11	35	11	35	11	35	11	35	5	29	8	32	8	32	11	35	11	35	11	35	5	29	11	35	11	35
5	28	9	32	9	32	9	32	12	35	12	35	12	35	12	35	9	32	9	32	9	32	12	35	12	35	12	35	12	35	5	28	9	32	9	32	12	35	12	35	12	35	5	28	12	35	12	35
5	27	10	32	10	32	10	32	13	35	13	35	13	35	13	35	10	32	10	32	10	32	13	35	13	35	13	35	13	35	5	27	10	32	10	32	13	35	13	35	13	35	5	27	13	35	13	35
5	26	11	32	11	32	11	32	14	35	14	35	14	35	14	35	11	32	11	32	11	32	14	35	14	35	14	35	14	35	5	26	11	32	11	32	14	35	14	35	14	35	5	26	14	35	14	35
5	25	12	32	12	32	12	32	15	35	15	35	15	35	15	35	12	32	12	32	12	32	15	35	15	35	15	35	15	35	5	25	12	32	12	32	15	35	15	35	15	35	5	25	15	35	15	35
5	24	13	32	13	32	13	32	16	35	16	35	16	35	16	35	13	32	13	32	13	32	16	35	16	35	16	35	16	35	5	24	13	32	13	32	16	35	16	35	16	35	5	24	16	35	16	35
5	23	14	32	14	32	14	32	17	35	17	35	17	35	17	35	14	32	14	32	14	32	17	35	17	35	17	35	17	35	5	23	14	32	14	32	17	35	17	35	17	35	5	23	17	35	17	35
5	22	15	32	15	32	15	32	17	34	17	34	17	34	18	35	15	32	15	32	15	32	17	34	17	34	17	34	18	35	5	22	15	32	15	32	17	34	17	34	18	35	5	22	18	35	18	35
5	21	16	32	16	32	16	32	17	33	17	33	17	33	19	35	16	32	16	32	16	32	17	33	17	33	17	33	19	35	5	21	16	32	16	32	17	33	17	33	19	35	5	21	19	35	19	35
5	20	17	32	17	32	17	32	17	32	17	32	17	32	20	35	17	32	17	32	17	32	17	32	17	32	17	32	20	35	5	20	17	32	17	32	17	32	17	32	20	35	5	20	20	35	20	35
5	19	17	31	17	31	18	32	17	31	17	31	18	32	21	35	17	31	17	31	18	32	17	31	17	31	18	32	21	35	5	19	17	31	18	32	17	31	18	32	21	35	5	19	21	35	21	35
5	18	17	30	17	30	19	32	17	30	17	30	19	32	22	35	17	30	17	30	19	32	17	30	17	30	19	32	22	35	5	18	17	30	19	32	17	30	19	32	22	35	5	18	22	35	22	35
6	18	17	29	18	30	20	32	17	29	18	30	20	32	22	34	17	29	18	30	20	32	17	29	18	30	20	32	22	34	5	17	18	30	20	32	18	30	20	32	22	34	5	17	23	35	23	35
7	18	17	28	19	30	21	32	17	28	19	30	21	32	22	33	17	28	19	30	21	32	17	28	19	30	21	32	22	33	5	16	19	30	21	32	19	30	21	32	22	33	5	16	24	35	24	35
