Path4_1(x)	Path4_1(y)	Path4_2(x)	Path4_2(y)	Path4_3(x)	Path4_3(y)	Path4_4(x)	Path4_4(y)	Path4_5(x)	Path4_5(y)	Path4_6(x)	Path4_6(y)	Path4_7(x)	Path4_7(y)	Path4_8(x)	Path4_8(y)	Path4_9(x)	Path4_9(y)
10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40
11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40	11	40
12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40	12	40
13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40	13	40
14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40	14	40
15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40	15	40
16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40	16	40
17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40	17	40
18	40	18	40	18	40	17	41	17	41	18	40	17	41	18	40	17	41
19	40	19	40	19	40	17	42	17	42	19	40	17	42	19	40	17	42
20	40	20	40	20	40	18	42	18	42	20	40	18	42	20	40	18	42
21	40	21	40	21	40	19	42	19	42	21	40	19	42	21	40	19	42
22	40	22	40	22	40	20	42	20	42	22	40	20	42	22	40	20	42
23	40	23	40	23	40	21	42	21	42	23	40	21	42	23	40	21	42
24	40	24	40	24	40	22	42	22	42	24	40	22	42	24	40	22	42
25	40	25	40	25	40	23	42	23	42	25	40	23	42	25	40	23	42
26	40	26	40	26	40	24	42	24	42	26	40	24	42	26	40	24	42
27	40	27	40	27	40	25	42	25	42	27	40	25	42	27	40	25	42
28	40	28	40	28	40	26	42	26	42	28	40	26	42	28	40	26	42
29	40	29	40	29	40	27	42	27	42	29	40	27	42	29	40	27	42
30	40	30	40	30	40	28	42	28	42	30	40	28	42	30	40	28	42
31	40	31	40	31	40	29	42	29	42	31	40	29	42	31	40	29	42
32	40	32	40	32	40	30	42	30	42	32	40	30	42	32	40	30	42
32	39	32	39	32	39	31	42	31	42	33	40	31	42	33	40	31	42
32	38	32	38	32	38	32	42	32	42	34	40	32	42	34	40	32	42
32	37	32	37	32	37	32	41	32	41	35	40	32	41	35	40	32	41
32	36	32	36	32	36	32	40	32	40	36	40	32	40	36	40	32	40
32	35	32	35	32	35	32	39	32	39	37	40	33	40	37	40	33	40
32	34	32	34	33	35	32	38	32	38	38	40	34	40	38	40	34	40
32	33	32	33	34	35	32	37	32	37	39	40	35	40	39	40	35	40
32	32	32	32	35	35	32	36	32	36	40	40	36	40	40	40	36	40
32	31	32	31	35	34	32	35	32	35	40	39	37	40	40	39	37	40
32	30	32	30	35	33	32	34	32	34	40	38	38	40	40	38	38	40
32	29	32	29	35	32	32	33	32	33	40	37	39	40	40	37	39	40
32	28	32	28	35	31	32	32	32	32	40	36	40	40	40	36	40	40
32	27	32	27	35	30	32	31	32	31	40	35	40	39	40	35	40	39
32	26	33	27	35	29	32	30	32	30	40	34	40	38	40	34	40	38
32	25	34	27	35	28	32	29	32	29	40	33	40	37	40	33	40	37
32	24	35	27	35	27	32	28	32	28	40	32	40	36	40	32	40	36
32	23	35	26	35	26	32	27	32	27	40	31	40	35	40	31	40	35
32	22	35	25	35	25	32	26	33	27	40	30	40	34	40	30	40	34
32	21	35	24	35	24	32	25	34	27	40	29	40	33	40	29	40	33
32	20	35	23	35	23	32	24	35	27	40	28	40	32	40	28	40	32
32	19	35	22	35	22	32	23	35	26	40	27	40	31	40	27	40	31
32	18	35	21	35	21	32	22	35	25	40	26	40	30	40	26	40	30
