Path5_1(x)	Path5_1(y)	Path5_2(x)	Path5_2(y)	Path5_3(x)	Path5_3(y)	Path5_4(x)	Path5_4(y)	Path5_5(x)	Path5_5(y)	Path5_6(x)	Path5_6(y)	Path5_7(x)	Path5_7(y)	Path5_8(x)	Path5_8(y)	Path5_9(x)	Path5_9(y)	Path5_10(x)	Path5_10(y)	Path5_11(x)	Path5_11(y)	Path5_12(x)	Path5_12(y)	Path5_13(x)	Path5_13(y)	Path5_14(x)	Path5_14(y)	Path5_15(x)	Path5_15(y)	Path5_16(x)	Path5_16(y)	Path5_17(x)	Path5_17(y)	Path5_18(x)	Path5_18(y)	Path5_19(x)	Path5_19(y)	Path5_20(x)	Path5_20(y)	Path5_21(x)	Path5_21(y)	Path5_22(x)	Path5_22(y)	Path5_23(x)	Path5_23(y)	Path5_24(x)	Path5_24(y)
12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72	12	72
12	71	12	71	12	71	12	71	13	72	13	72	13	72	12	71	12	71	12	71	12	71	12	71	13	72	12	71	12	71	13	72	13	72	13	72	13	72	13	72	13	72	13	72	13	72	13	72
12	70	12	70	12	70	12	70	14	72	14	72	14	72	12	70	12	70	12	70	12	70	12	70	14	72	12	70	12	70	14	72	14	72	14	72	14	72	14	72	14	72	14	72	14	72	14	72
12	69	12	69	12	69	12	69	15	72	15	72	15	72	12	69	12	69	12	69	12	69	12	69	15	72	12	69	12	69	15	72	15	72	15	72	15	72	15	72	15	72	15	72	15	72	15	72
12	68	12	68	12	68	12	68	15	71	16	72	16	72	12	68	12	68	12	68	12	68	12	68	15	71	12	68	12	68	15	71	15	73	15	73	15	73	15	73	16	72	16	72	16	72	16	72
12	67	12	67	12	67	13	68	15	70	17	72	17	72	12	67	12	67	12	67	12	67	13	68	15	70	12	67	13	68	15	70	15	74	15	74	15	74	15	74	17	72	17	72	17	72	17	72
12	66	12	66	12	66	14	68	15	69	18	72	18	72	12	66	12	66	12	66	12	66	14	68	15	69	12	66	14	68	15	69	15	75	15	75	15	75	15	75	18	72	18	72	18	72	18	72
12	65	12	65	12	65	15	68	15	68	19	72	19	72	12	65	12	65	12	65	12	65	15	68	15	68	12	65	15	68	15	68	15	76	15	76	15	76	15	76	19	72	19	72	19	72	19	72
12	64	12	64	12	64	15	67	15	67	20	72	20	72	12	64	12	64	12	64	12	64	15	67	15	67	12	64	15	67	15	67	15	77	15	77	15	77	15	77	20	72	20	72	20	72	20	72
12	63	12	63	12	63	15	66	15	66	21	72	21	72	12	63	12	63	12	63	12	63	15	66	15	66	12	63	15	66	15	66	15	78	15	78	15	78	15	78	21	72	21	72	21	72	21	72
12	62	12	62	12	62	15	65	15	65	22	72	22	72	12	62	12	62	12	62	12	62	15	65	15	65	12	62	15	65	15	65	16	78	16	78	16	78	16	78	22	72	22	72	22	72	22	72
12	61	12	61	12	61	15	64	15	64	23	72	23	72	12	61	12	61	12	61	12	61	15	64	15	64	12	61	15	64	15	64	17	78	17	78	17	78	17	78	23	72	23	72	23	72	23	72
12	60	12	60	12	60	15	63	15	63	24	72	24	72	12	60	12	60	12	60	12	60	15	63	15	63	12	60	15	63	15	63	18	78	18	78	18	78	18	78	24	72	24	72	24	72	24	72
12	59	12	59	12	59	15	62	15	62	25	72	25	72	12	59	12	59	12	59	12	59	15	62	15	62	12	59	15	62	15	62	19	78	19	78	19	78	19	78	25	72	25	72	25	72	25	72
12	58	12	58	12	58	15	61	15	61	26	72	26	72	12	58	12	58	12	58	12	58	15	61	15	61	12	58	15	61	15	61	20	78	20	78	20	78	20	78	25	73	25	73	25	73	25	73
12	57	12	57	12	57	15	60	15	60	27	72	27	72	12	57	12	57	12	57	12	57	15	60	15	60	12	57	15	60	15	60	21	78	21	78	21	78	21	78	25	74	25	74	25	74	25	74
12	56	12	56	12	56	15	59	15	59	28	72	28	72	12	56	12	56	12	56	12	56	15	59	15	59	12	56	15	59	15	59	22	78	22	78	22	78	22	78	25	75	25	75	25	75	25	75
12	55	12	55	13	56	15	58	15	58	29	72	29	72	12	55	12	55	12	55	13	56	15	58	15	58	13	56	15	58	15	58	23	78	23	78	23	78	23	78	25	76	25	76	25	76	25	76
12	54	12	54	14	56	15	57	15	57	30	72	30	72	12	54	12	54	12	54	14	56	15	57	15	57	14	56	15	57	15	57	24	78	24	78	24	78	24	78	25	77	25	77	25	77	25	77
12	53	12	53	15	56	15	56	15	56	31	72	31	72	12	53	12	53	12	53	15	56	15	56	15	56	15	56	15	56	15	56	25	78	25	78	25	78	25	78	25	78	25	78	25	78	25	78
12	52	12	52	15	55	15	55	15	55	32	72	32	72	12	52	12	52	12	52	15	55	15	55	15	55	16	56	16	56	16	56	26	78	26	78	26	78	26	78	26	78	26	78	26	78	26	78
12	51	12	51	15	54	15	54	15	54	33	72	33	72	12	51	12	51	12	51	15	54	15	54	15	54	17	56	17	56	17	56	27	78	27	78	27	78	27	78	27	78	27	78	27	78	27	78
12	50	12	50	15	53	15	53	15	53	34	72	34	72	12	50	12	50	12	50	15	53	15	53	15	53	18	56	18	56	18	56	28	78	28	78	28	78	28	78	28	78	28	78	28	78	28	78
12	49	12	49	15	52	15	52	15	52	35	72	35	72	12	49	12	49	12	49	15	52	15	52	15	52	18	55	18	55	18	55	29	78	29	78	29	78	29	78	29	78	29	78	29	78	29	78
12	48	12	48	15	51	15	51	15	51	36	72	36	72	12	48	12	48	12	48	15	51	15	51	15	51	18	54	18	54	18	54	30	78	30	78	30	78	30	78	30	78	30	78	30	78	30	78
12	47	12	47	15	50	15	50	15	50	37	72	37	72	12	47	12	47	12	47	15	50	15	50	15	50	18	53	18	53	18	53	31	78	31	78	31	78	31	78	31	78	31	78	31	78	31	78
12	46	12	46	15	49	15	49	15	49	38	72	38	72	12	46	12	46	12	46	15	49	15	49	15	49	18	52	18	52	18	52	32	78	32	78	32	78	32	78	32	78	32	78	32	78	32	78
12	45	13	46	15	48	15	48	15	48	39	72	39	72	12	45	12	45	13	46	15	48	15	48	15	48	18	51	18	51	18	51	33	78	33	78	33	78	33	78	33	78	33	78	33	78	33	78
12	44	14	46	15	47	15	47	15	47	40	72	40	72	12	44	12	44	14	46	15	47	15	47	15	47	18	50	18	50	18	50	34	78	34	78	34	78	34	78	34	78	34	78	34	78	34	78
12	43	15	46	15	46	15	46	15	46	41	72	41	72	12	43	12	43	15	46	15	46	15	46	15	46	18	49	18	49	18	49	35	78	35	78	35	78	35	78	35	78	35	78	35	78	35	78
12	42	15	45	15	45	15	45	15	45	42	72	42	72	12	42	12	42	15	45	15	45	15	45	15	45	18	48	18	48	18	48	36	78	36	78	36	78	36	78	36	78	36	78	36	78	36	78
12	41	15	44	15	44	15	44	15	44	43	72	43	72	12	41	12	41	15	44	15	44	15	44	15	44	18	47	18	47	18	47	37	78	37	78	37	78	37	78	37	78	37	78	37	78	37	78
12	40	15	43	15	43	15	43	15	43	44	72	44	72	12	40	12	40	15	43	15	43	15	43	15	43	18	46	18	46	18	46	38	78	38	78	38	78	38	78	38	78	38	78	38	78	38	78
12	39	15	42	15	42	15	42	15	42	45	72	45	72	12	39	12	39	15	42	15	42	15	42	15	42	17	46	17	46	17	46	39	78	39	78	39	78	39	78	39	78	39	78	39	78	39	78
12	38	15	41	15	41	15	41	15	41	46	72	46	72	12	38	12	38	15	41	15	41	15	41	15	41	16	46	16	46	16	46	39	77	39	77	40	78	40	78	39	77	39	77	40	78	40	78
12	37	15	40	15	40	15	40	15	40	47	72	47	72	12	37	12	37	15	40	15	40	15	40	15	40	15	46	15	46	15	46	39	76	39	76	41	78	41	78	39	76	39	76	41	78	41	78
12	36	15	39	15	39	15	39	15	39	48	72	48	72	12	36	12	36	15	39	15	39	15	39	15	39	15	45	15	45	15	45	39	75	39	75	42	78	42	78	39	75	39	75	42	78	42	78
12	35	15	38	15	38	15	38	15	38	49	72	49	72	12	35	12	35	15	38	15	38	15	38	15	38	15	44	15	44	15	44	39	74	39	74	43	78	43	78	39	74	39	74	43	78	43	78
12	34	15	37	15	37	15	37	15	37	50	72	50	72	12	34	12	34	15	37	15	37	15	37	15	37	15	43	15	43	15	43	39	73	39	73	44	78	44	78	39	73	39	73	44	78	44	78
13	34	15	36	15	36	15	36	15	36	51	72	51	72	12	33	13	34	15	36	15	36	15	36	15	36	15	42	15	42	15	42	39	72	39	72	45	78	45	78	39	72	39	72	45	78	45	78
14	34	15	35	15	35	15	35	15	35	52	72	52	72	12	32	14	34	15	35	15	35	15	35	15	35	15	41	15	41	15	41	40	72	40	72	46	78	46	78	40	72	40	72	46	78	46	78
15	34	15	34	15	34	15	34	15	34	53	72	53	72	12	31	15	34	15	34	15	34	15	34	15	34	15	40	15	40	15	40	41	72	41	72	47	78	47	78	41	72	41	72	47	78	47	78
16	34	16	34	16	34	16	34	16	34	54	72	54	72	12	30	15	33	15	33	15	33	15	33	15	33	15	39	15	39	15	39	42	72	42	72	48	78	48	78	42	72	42	72	48	78	48	78
17	34	17	34	17	34	17	34	17	34	55	72	55	72	12	29	15	32	15	32	15	32	15	32	15	32	15	38	15	38	15	38	43	72	43	72	49	78	49	78	43	72	43	72	49	78	49	78
18	34	18	34	18	34	18	34	18	34	56	72	56	72	12	28	15	31	15	31	15	31	15	31	15	31	15	37	15	37	15	37	44	72	44	72	50	78	50	78	44	72	44	72	50	78	50	78
19	34	19	34	19	34	19	34	19	34	57	72	57	72	12	27	15	30	15	30	15	30	15	30	15	30	15	36	15	36	15	36	45	72	45	72	51	78	51	78	45	72	45	72	51	78	51	78
20	34	20	34	20	34	20	34	20	34	58	72	58	72	12	26	15	29	15	29	15	29	15	29	15	29	15	35	15	35	15	35	46	72	46	72	52	78	52	78	46	72	46	72	52	78	52	78
21	34	21	34	21	34	21	34	21	34	58	71	58	71	12	25	15	28	15	28	15	28	15	28	15	28	15	34	15	34	15	34	47	72	47	72	53	78	53	78	47	72	47	72	53	78	53	78
22	34	22	34	22	34	22	34	22	34	58	70	58	70	12	24	15	27	15	27	15	27	15	27	15	27	15	33	15	33	15	33	48	72	48	72	54	78	54	78	48	72	48	72	54	78	54	78
23	34	23	34	23	34	23	34	23	34	58	69	58	69	12	23	15	26	15	26	15	26	15	26	15	26	15	32	15	32	15	32	49	72	49	72	55	78	55	78	49	72	49	72	55	78	55	78
24	34	24	34	24	34	24	34	24	34	58	68	58	68	12	22	15	25	15	25	15	25	15	25	15	25	15	31	15	31	15	31	50	72	50	72	56	78	56	78	50	72	50	72	56	78	56	78
24	33	24	33	24	33	24	33	24	33	58	67	58	67	12	21	15	24	15	24	15	24	15	24	15	24	15	30	15	30	15	30	51	72	51	72	57	78	57	78	51	72	51	72	57	78	57	78
24	32	24	32	24	32	24	32	24	32	58	66	58	66	12	20	15	23	15	23	15	23	15	23	15	23	15	29	15	29	15	29	52	72	52	72	58	78	58	78	52	72	52	72	58	78	58	78
24	31	24	31	24	31	24	31	24	31	58	65	58	65	13	20	15	22	15	22	15	22	15	22	15	22	15	28	15	28	15	28	53	72	53	72	58	77	58	77	53	72	53	72	58	77	58	77
24	30	24	30	24	30	24	30	24	30	58	64	58	64	14	20	15	21	15	21	15	21	15	21	15	21	15	27	15	27	15	27	54	72	54	72	58	76	58	76	54	72	54	72	58	76	58	76
24	29	24	29	24	29	24	29	24	29	58	63	58	63	15	20	15	20	15	20	15	20	15	20	15	20	15	26	15	26	15	26	55	72	55	72	58	75	58	75	55	72	55	72	58	75	58	75
24	28	24	28	24	28	24	28	24	28	58	62	58	62	16	20	16	20	16	20	16	20	16	20	16	20	15	25	15	25	15	25	56	72	56	72	58	74	58	74	56	72	56	72	58	74	58	74
24	27	24	27	24	27	24	27	24	27	58	61	58	61	17	20	17	20	17	20	17	20	17	20	17	20	15	24	15	24	15	24	57	72	57	72	58	73	58	73	57	72	57	72	58	73	58	73
24	26	24	26	24	26	24	26	24	26	58	60	58	60	18	20	18	20	18	20	18	20	18	20	18	20	15	23	15	23	15	23	58	72	58	72	58	72	58	72	58	72	58	72	58	72	58	72
24	25	24	25	24	25	24	25	24	25	59	60	59	60	19	20	19	20	19	20	19	20	19	20	19	20	15	22	15	22	15	22	58	71	58	71	58	71	58	71	58	71	58	71	58	71	58	71
24	24	24	24	24	24	24	24	24	24	60	60	60	60	20	20	20	20	20	20	20	20	20	20	20	20	15	21	15	21	15	21	58	70	58	70	58	70	58	70	58	70	58	70	58	70	58	70
25	24	25	24	25	24	25	24	25	24	60	59	60	59	21	20	21	20	21	20	21	20	21	20	21	20	15	20	15	20	15	20	58	69	58	69	58	69	58	69	58	69	58	69	58	69	58	69
26	24	26	24	26	24	26	24	26	24	60	58	60	58	22	20	22	20	22	20	22	20	22	20	22	20	16	20	16	20	16	20	58	68	58	68	58	68	58	68	58	68	58	68	58	68	58	68
27	24	27	24	27	24	27	24	27	24	60	57	60	57	23	20	23	20	23	20	23	20	23	20	23	20	17	20	17	20	17	20	58	67	58	67	58	67	58	67	58	67	58	67	58	67	58	67
28	24	28	24	28	24	28	24	28	24	60	56	60	56	24	20	24	20	24	20	24	20	24	20	24	20	18	20	18	20	18	20	58	66	58	66	58	66	58	66	58	66	58	66	58	66	58	66
29	24	29	24	29	24	29	24	29	24	60	55	60	55	25	20	25	20	25	20	25	20	25	20	25	20	19	20	19	20	19	20	58	65	58	65	58	65	58	65	58	65	58	65	58	65	58	65
30	24	30	24	30	24	30	24	30	24	60	54	60	54	26	20	26	20	26	20	26	20	26	20	26	20	20	20	20	20	20	20	58	64	58	64	58	64	58	64	58	64	58	64	58	64	58	64
31	24	31	24	31	24	31	24	31	24	60	53	60	53	27	20	27	20	27	20	27	20	27	20	27	20	21	20	21	20	21	20	58	63	58	63	58	63	58	63	58	63	58	63	58	63	58	63
32	24	32	24	32	24	32	24	32	24	60	52	60	52	28	20	28	20	28	20	28	20	28	20	28	20	22	20	22	20	22	20	58	62	58	62	58	62	58	62	58	62	58	62	58	62	58	62
33	24	33	24	33	24	33	24	33	24	60	51	60	51	29	20	29	20	29	20	29	20	29	20	29	20	23	20	23	20	23	20	58	61	58	61	58	61	58	61	58	61	58	61	58	61	58	61
34	24	34	24	34	24	34	24	34	24	60	50	60	50	30	20	30	20	30	20	30	20	30	20	30	20	24	20	24	20	24	20	58	60	58	60	58	60	58	60	58	60	58	60	58	60	58	60
35	24	35	24	35	24	35	24	35	24	60	49	60	49	31	20	31	20	31	20	31	20	31	20	31	20	25	20	25	20	25	20	59	60	59	60	59	60	59	60	59	60	59	60	59	60	59	60
36	24	36	24	36	24	36	24	36	24	60	48	60	48	32	20	32	20	32	20	32	20	32	20	32	20	26	20	26	20	26	20	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
