Path6_1(x)	Path6_1(y)	Path6_2(x)	Path6_2(y)	Path6_3(x)	Path6_3(y)	Path6_4(x)	Path6_4(y)	Path6_5(x)	Path6_5(y)
10	30	10	30	10	30	10	30	10	30
10	29	11	30	10	29	11	30	10	29
10	28	12	30	10	28	12	30	10	28
10	27	12	29	10	27	13	30	10	27
10	26	12	28	10	26	14	30	10	26
10	25	12	27	10	25	15	30	10	25
10	24	12	26	10	24	16	30	9	25
10	23	12	25	10	23	17	30	8	25
10	22	12	24	10	22	18	30	7	25
10	21	12	23	10	21	19	30	6	25
10	20	12	22	10	20	20	30	5	25
10	19	12	21	10	19	21	30	5	24
10	18	12	20	10	18	22	30	5	23
10	17	12	19	10	17	23	30	5	22
11	17	12	18	10	16	24	30	5	21
12	17	12	17	10	15	25	30	5	20
13	17	13	17	10	14	26	30	5	19
14	17	14	17	10	13	27	30	5	18
15	17	15	17	10	12	28	30	5	17
16	17	16	17	10	11	29	30	5	16
17	17	17	17	10	10	30	30	5	15
18	17	18	17	11	10	30	29	5	14
19	17	19	17	12	10	30	28	5	13
20	17	20	17	13	10	30	27	6	13
21	17	21	17	14	10	30	26	7	13
22	17	22	17	15	10	30	25	8	13
23	17	23	17	16	10	30	24	9	13
24	17	24	17	17	10	30	23	10	13
25	17	25	17	18	10	30	22	10	12
25	16	25	16	19	10	30	21	10	11
25	15	25	15	20	10	30	20	10	10
0	0	0	0	21	10	30	19	11	10
0	0	0	0	21	11	30	18	12	10
0	0	0	0	21	12	30	17	13	10
0	0	0	0	21	13	29	17	14	10
0	0	0	0	21	14	28	17	15	10
0	0	0	0	21	15	27	17	16	10
0	0	0	0	22	15	26	17	17	10
0	0	0	0	23	15	25	17	18	10
0	0	0	0	24	15	25	16	19	10
0	0	0	0	25	15	25	15	20	10
0	0	0	0	0	0	0	0	21	10
0	0	0	0	0	0	0	0	21	11
0	0	0	0	0	0	0	0	21	12
0	0	0	0	0	0	0	0	21	13
0	0	0	0	0	0	0	0	21	14
0	0	0	0	0	0	0	0	21	15
0	0	0	0	0	0	0	0	22	15
0	0	0	0	0	0	0	0	23	15
0	0	0	0	0	0	0	0	24	15
0	0	0	0	0	0	0	0	25	15
