Path7_1(x)	Path7_1(y)	Path7_2(x)	Path7_2(y)	Path7_3(x)	Path7_3(y)	Path7_4(x)	Path7_4(y)	Path7_5(x)	Path7_5(y)	Path7_6(x)	Path7_6(y)	Path7_7(x)	Path7_7(y)	Path7_8(x)	Path7_8(y)	Path7_9(x)	Path7_9(y)	Path7_10(x)	Path7_10(y)	Path7_11(x)	Path7_11(y)	Path7_12(x)	Path7_12(y)	Path7_13(x)	Path7_13(y)	Path7_14(x)	Path7_14(y)	Path7_15(x)	Path7_15(y)	Path7_16(x)	Path7_16(y)
5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35
6	35	6	35	6	35	6	35	5	34	5	34	5	34	5	34	5	34	5	34	5	34	6	35	6	35	5	34	6	35	6	35
7	35	7	35	7	35	7	35	5	33	5	33	5	33	5	33	5	33	5	33	5	33	7	35	7	35	5	33	7	35	7	35
8	35	8	35	8	35	8	35	5	32	5	32	5	32	5	32	5	32	5	32	5	32	8	35	8	35	5	32	8	35	8	35
9	35	9	35	9	35	9	35	6	32	6	32	6	32	6	32	5	31	5	31	5	31	9	35	9	35	6	32	9	35	9	35
10	35	10	35	10	35	10	35	7	32	7	32	7	32	7	32	5	30	5	30	5	30	10	35	10	35	7	32	10	35	10	35
11	35	11	35	11	35	11	35	8	32	8	32	8	32	8	32	5	29	5	29	6	30	11	35	11	35	8	32	11	35	11	35
12	35	12	35	12	35	12	35	9	32	9	32	9	32	9	32	5	28	5	28	7	30	12	35	12	35	9	32	12	35	12	35
13	35	13	35	13	35	13	35	10	32	10	32	10	32	10	32	5	27	5	27	8	30	13	35	13	35	10	32	13	35	13	35
14	35	14	35	14	35	14	35	11	32	11	32	11	32	11	32	5	26	5	26	9	30	14	35	14	35	11	32	14	35	14	35
15	35	15	35	15	35	15	35	12	32	12	32	12	32	12	32	5	25	5	25	10	30	15	35	15	35	12	32	15	35	15	35
16	35	16	35	16	35	16	35	13	32	13	32	13	32	13	32	5	24	5	24	10	29	16	35	16	35	13	32	16	35	16	35
17	35	17	35	17	35	17	35	14	32	14	32	14	32	14	32	5	23	5	23	10	28	17	35	17	35	14	32	17	35	17	35
18	35	18	35	17	34	17	34	15	32	15	32	15	32	15	32	5	22	5	22	10	27	18	35	17	34	15	32	18	35	18	35
19	35	19	35	17	33	17	33	16	32	16	32	16	32	16	32	5	21	5	21	10	26	19	35	17	33	16	32	19	35	19	35
20	35	20	35	17	32	17	32	17	32	17	32	17	32	17	32	5	20	5	20	10	25	20	35	17	32	17	32	20	35	20	35
21	35	21	35	18	32	18	32	17	31	17	31	18	32	18	32	5	19	5	19	10	24	21	35	18	32	17	31	21	35	21	35
22	35	22	35	19	32	19	32	17	30	17	30	19	32	19	32	5	18	5	18	10	23	22	35	19	32	17	30	22	35	22	35
22	34	22	34	20	32	20	32	18	30	18	30	20	32	20	32	5	17	6	18	10	22	22	34	20	32	18	30	23	35	23	35
22	33	22	33	21	32	21	32	19	30	19	30	21	32	21	32	5	16	7	18	10	21	22	33	21	32	19	30	24	35	24	35
22	32	22	32	22	32	22	32	20	30	20	30	22	32	22	32	5	15	8	18	10	20	22	32	22	32	20	30	25	35	25	35
22	31	22	31	22	31	22	31	21	30	21	30	22	31	22	31	5	14	9	18	10	19	22	31	22	31	21	30	26	35	26	35
22	30	22	30	22	30	22	30	22	30	22	30	22	30	22	30	5	13	10	18	10	18	22	30	22	30	22	30	27	35	27	35
22	29	22	29	22	29	22	29	22	29	22	29	22	29	22	29	5	12	10	17	10	17	23	30	23	30	23	30	28	35	28	35
22	28	22	28	22	28	22	28	22	28	22	28	22	28	22	28	6	12	10	16	10	16	24	30	24	30	24	30	29	35	29	35
22	27	22	27	22	27	22	27	22	27	22	27	22	27	22	27	7	12	10	15	10	15	25	30	25	30	25	30	30	35	30	35
22	26	22	26	22	26	22	26	22	26	22	26	22	26	22	26	8	12	10	14	10	14	26	30	26	30	26	30	31	35	31	35
