Path11_1(x)	Path11_1(y)	Path11_2(x)	Path11_2(y)	Path11_3(x)	Path11_3(y)	Path11_4(x)	Path11_4(y)
10	30	10	30	10	30	10	30
10	29	10	29	11	30	10	29
10	28	10	28	12	30	10	28
10	27	10	27	12	29	10	27
10	26	10	26	12	28	10	26
10	25	10	25	12	27	10	25
10	24	10	24	12	26	9	25
10	23	10	23	12	25	8	25
10	22	10	22	12	24	7	25
10	21	10	21	12	23	6	25
10	20	10	20	12	22	5	25
10	19	10	19	12	21	5	24
10	18	10	18	12	20	5	23
10	17	10	17	12	19	5	22
10	16	11	17	12	18	5	21
10	15	12	17	12	17	5	20
10	14	12	16	12	16	5	19
10	13	12	15	12	15	5	18
10	12	12	14	12	14	5	17
10	11	12	13	12	13	5	16
10	10	12	12	12	12	5	15
11	10	12	11	12	11	5	14
12	10	12	10	12	10	5	13
13	10	13	10	13	10	6	13
14	10	14	10	14	10	7	13
15	10	15	10	15	10	8	13
16	10	16	10	16	10	9	13
17	10	17	10	17	10	10	13
18	10	18	10	18	10	10	12
19	10	19	10	19	10	10	11
20	10	20	10	20	10	10	10
21	10	21	10	21	10	11	10
21	11	21	11	21	11	12	10
21	12	21	12	21	12	13	10
21	13	21	13	21	13	14	10
21	14	21	14	21	14	15	10
21	15	21	15	21	15	16	10
22	15	22	15	22	15	17	10
23	15	23	15	23	15	18	10
24	15	24	15	24	15	19	10
25	15	25	15	25	15	20	10
0	0	0	0	0	0	21	10
0	0	0	0	0	0	21	11
0	0	0	0	0	0	21	12
0	0	0	0	0	0	21	13
0	0	0	0	0	0	21	14
0	0	0	0	0	0	21	15
0	0	0	0	0	0	22	15
0	0	0	0	0	0	23	15
0	0	0	0	0	0	24	15
0	0	0	0	0	0	25	15
