Path12_1(x)	Path12_1(y)	Path12_2(x)	Path12_2(y)	Path12_3(x)	Path12_3(y)	Path12_4(x)	Path12_4(y)	Path12_5(x)	Path12_5(y)	Path12_6(x)	Path12_6(y)	Path12_7(x)	Path12_7(y)	Path12_8(x)	Path12_8(y)	Path12_9(x)	Path12_9(y)	Path12_10(x)	Path12_10(y)	Path12_11(x)	Path12_11(y)	Path12_12(x)	Path12_12(y)	Path12_13(x)	Path12_13(y)	Path12_14(x)	Path12_14(y)	Path12_15(x)	Path12_15(y)	Path12_16(x)	Path12_16(y)	Path12_17(x)	Path12_17(y)	Path12_18(x)	Path12_18(y)	Path12_19(x)	Path12_19(y)	Path12_20(x)	Path12_20(y)	Path12_21(x)	Path12_21(y)	Path12_22(x)	Path12_22(y)
5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35	5	35
5	34	5	34	5	34	5	34	5	34	5	34	5	34	5	34	6	35	6	35	5	34	5	34	5	34	5	34	5	34	5	34	5	34	5	34	5	34	5	34	5	34	5	34
5	33	5	33	5	33	5	33	5	33	5	33	5	33	5	33	7	35	7	35	5	33	5	33	5	33	5	33	5	33	5	33	5	33	5	33	5	33	5	33	5	33	5	33
5	32	5	32	5	32	5	32	5	32	5	32	5	32	5	32	8	35	8	35	5	32	5	32	5	32	5	32	5	32	5	32	5	32	5	32	5	32	5	32	5	32	5	32
5	31	5	31	5	31	5	31	5	31	5	31	5	31	5	31	9	35	9	35	6	32	6	32	6	32	6	32	6	32	6	32	6	32	6	32	6	32	6	32	6	32	6	32
5	30	5	30	5	30	5	30	5	30	5	30	5	30	5	30	10	35	10	35	7	32	7	32	7	32	7	32	7	32	7	32	7	32	7	32	7	32	7	32	7	32	7	32
5	29	5	29	6	30	6	30	6	30	6	30	6	30	6	30	11	35	11	35	8	32	8	32	8	32	8	32	8	32	8	32	8	32	8	32	8	32	8	32	8	32	8	32
5	28	5	28	7	30	7	30	7	30	7	30	7	30	7	30	12	35	12	35	9	32	9	32	9	32	9	32	9	32	9	32	9	32	9	32	9	32	9	32	9	32	9	32
5	27	5	27	8	30	8	30	8	30	8	30	8	30	8	30	13	35	13	35	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32	10	32
5	26	5	26	9	30	9	30	9	30	9	30	9	30	9	30	14	35	14	35	11	32	11	32	11	32	11	32	11	32	11	32	11	32	11	32	11	32	11	32	11	32	11	32
5	25	5	25	10	30	10	30	10	30	10	30	10	30	10	30	15	35	15	35	12	32	12	32	12	32	12	32	12	32	12	32	12	32	12	32	12	32	12	32	12	32	12	32
5	24	5	24	10	29	10	29	10	29	10	29	10	29	10	29	16	35	16	35	13	32	13	32	13	32	13	32	13	32	13	32	13	32	13	32	13	32	13	32	13	32	13	32
5	23	5	23	10	28	10	28	10	28	10	28	10	28	10	28	17	35	17	35	14	32	14	32	14	32	14	32	14	32	14	32	14	32	14	32	14	32	14	32	14	32	14	32
